"filename","funcname",line number,column number,frequency count,"comment"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumAlising",3,31,94,"PARALLEL ASSIGNMENTS: a = a, b = b"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumAlising",4,2,94,"*b = *b+"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumAlising",5,2,94,"return *a"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumRestrict",8,50,602,"PARALLEL ASSIGNMENTS: a = a, b = b"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumRestrict",9,2,602,"*b = *b+"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sumRestrict",10,2,602,"return *a"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",14,1,532,"PARALLEL ASSIGNMENTS: a = a, b = b"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",16,2,532,"result = a+b"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",17,2,532,"( ((a^b)&) !=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",17,2,50,"goto g-3#50"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",18,3,50,"( ((result^a)&) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",18,3,20,"goto g-5#20"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",19,4,20,"result = ((a < ) ?  : )"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_sadd",22,2,50,"return result"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",27,1,30,"PARALLEL ASSIGNMENTS: sum = sum, in1 = in1, in2 = in2, N = N"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,7,30,"i = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,14,30,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,14,0,"goto g-8#0"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",32,3,0,"_amem4((sum+i*2)) = _add2(_amem4((in1+i*2)), _amem4((in2+i*2)))"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,21,0,"i++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,14,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",31,14,0,"goto g1#0"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinMust",34,1,0,"return"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",38,1,0,"PARALLEL ASSIGNMENTS: sum = sum, in1 = in1, in2 = in2, N = N"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,7,0,"i = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,14,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,14,0,"goto g-13"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",43,3,0,"_amem4((sum+i*2)) = _add2(_amem4((in1+i*2)), _amem4((in2+i*2)))"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,21,0,"i++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,14,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",42,14,0,"goto g1"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumConMust",45,1,0,"return"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",48,1,0,"PARALLEL ASSIGNMENTS: in1 = in1, in2 = in2, N = N"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",49,10,0,"sum1 = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",49,20,0,"sum2 = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",50,8,0,"i = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",50,15,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",50,15,0,"goto g-18"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",52,3,0,"sum1 = sum1+_mpy(_amem4_const((in1+i*2)), _amem4_const((in2+i*2)))"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",53,3,0,"sum2 = sum2+_mpyh(_amem4_const((in1+i*2)), _amem4_const((in2+i*2)))"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproducto",50,22,0,"i++"
