"filename","funcname",line number,column number,frequency count,"comment"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",22,8,41,"fich_num = fopen("Coeficientes.csv", "r")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",24,2,41,"( fich_num !=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",24,2,24,"goto g-1#24"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",28,3,24,"printf("\nNo se puede abrir fichero: Coeficientes.csv")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",29,3,24,"printf("\nUsando valores por defecto")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",31,3,24,"nc = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",32,3,24,"v_coef = &v_coef_default[0]"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",33,2,24,"goto g2#24"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",38,3,15,"nc = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",39,10,15,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",39,10,8,"goto g4#8"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",41,4,644,"fscanf(fich_num, "%f", &borradorFloat)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",42,4,644,"nc++"
